Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12787618546,405148313,7/1/2021 9:36,7/1/2021 10:27,,,,,,Not at all,At least once a day,Not at all,At least once a day,Not at all,About once a week,Not at all,About once a week,At least once a day,Not at all,Expert,Not at all,Expert,Not at all,Intermediate,Not at all,Intermediate,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Somewhat,Somewhat,Unsure,Unsure,Unsure,Not at all,Somewhat,Somewhat,Very much so,Very much so,Very much so,reserving/cat model/capital model specific tools,,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,Lack of IT support,,,,,,Lack of management support,Lack of IT support,Financial cost,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,"Time series analysis, including claim trend analysis",AI/deep learning,,,,,,FCAS,31-40 years old,United States,,Insurance company,,26-50,Between 15 and 20
12787618207,405148313,7/1/2021 10:23,7/1/2021 10:27,,,,,,About once a month,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,About once a week,Intermediate,Expert,Not at all,Not at all,Not at all,Intermediate,Not at all,Not at all,Advanced,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,,A data visualization tool like Tableau,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Reinsurance company,,26-50,Between 10 and 15
12787617139,405148313,7/1/2021 10:22,7/1/2021 10:27,,,,,,At least once a day,At least once a day,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Expert,Expert,Basic stuff,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Intermediate,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,"Stan, Spark",R,,,,,,,,,,,,,,,,,Insufficient/inadequate staff,,,,,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Broker or (re)insurance intermediary,,10-Jun,Between 10 and 15
12787614335,405148313,7/1/2021 10:21,7/1/2021 10:26,,,,,,Less than once a month,At least once a day,Less than once a month,Less than once a month,Less than once a month,About once a week,Not at all,Not at all,About once a week,Intermediate,Expert,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Not at all,Not at all,Intermediate,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,,,,,,,,SQL,,,,,,Not enough time,,,,,Lack of IT support,,,,,,,,,,,,,,,,,,FCAS,31-40 years old,Canada,,Insurance company,,25-Nov,Between 10 and 15
12787612685,405148313,7/1/2021 10:15,7/1/2021 10:25,,,,,,Not at all,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,About once a week,Intermediate,Expert,Basic stuff,Advanced,Basic stuff,Advanced,Not at all,Intermediate,Intermediate,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,,,,,SAS,,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,Financial cost,,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,10-Jun,Between 5 and 10
12787612405,405148313,7/1/2021 10:20,7/1/2021 10:25,,,,,,At least once a day,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,About once a week,Expert,,Basic stuff,Basic stuff,Not at all,Not at all,Basic stuff,Not at all,Advanced,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,R,Excel,,,,,,,,,,,,,,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15
12787609589,405148313,7/1/2021 10:20,7/1/2021 10:24,,,,,,About once a month,At least once a day,Not at all,About once a week,Less than once a month,Not at all,Not at all,About once a month,About once a week,Intermediate,Advanced,Not at all,Advanced,Basic stuff,Not at all,Not at all,Basic stuff,Advanced,Very much so,,,Very much so,,,Unsure,,,Very much so,,,Somewhat,,,Unsure,,,Not at all,,,Somewhat,,,Very much so,,,,R,,,,Python,,,,,,,Lack of management support,,,Not enough time,,,,Lack of management support,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,,,,,,ACAS,Up to 30 years old,Canada,,Insurance company,,5-Jan,Less than 5
12787608265,405148313,7/1/2021 10:19,7/1/2021 10:23,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,At least once a day,At least once a day,Basic stuff,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Intermediate,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Very much so,Very much so,Unsure,,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,,,,,,,,,,,"data cleansing, standardization, summarization, business rules",,FCAS,41-50 years old,United States,,Insurance company,,200+,More than 20
12787605496,405148313,7/1/2021 10:16,7/1/2021 10:22,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,About once a week,Not at all,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,,,,,,,,SQL,,,,,,Not enough time,,,,,,,,,not a priority,,Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,5-Jan,More than 20
12787604043,405148313,7/1/2021 10:13,7/1/2021 10:22,,,,,,At least once a day,At least once a day,About once a week,Not at all,At least once a day,Not at all,Not at all,About once a month,About once a week,Intermediate,Advanced,Basic stuff,Not at all,Intermediate,Not at all,Not at all,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,Excel,,,Python,,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,I would like to learn how to use smoothed regression splines as they do a good job of capturing nonlinear signals without overfitting.,ACAS,41-50 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12787603605,405148313,7/1/2021 10:17,7/1/2021 10:22,,,,,,Less than once a month,At least once a day,Not at all,Not at all,About once a week,About once a week,Not at all,Not at all,About once a week,Basic stuff,Expert,,Not at all,Intermediate,Intermediate,Not at all,Not at all,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,A data visualization tool like Tableau,,,SQL,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,,Tree-based methods like random forests,,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 5 and 10
12787599499,405148313,7/1/2021 10:16,7/1/2021 10:20,,,,,,Not at all,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,Not at all,About once a month,Basic stuff,Expert,Not at all,Basic stuff,Intermediate,Intermediate,Not at all,Basic stuff,Advanced,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,n/a,,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,Lack of IT support,Financial cost,,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,n/a,FCAS,51-60 years old,United States,,Reinsurance company,,25-Nov,Between 15 and 20
12787598683,405148313,7/1/2021 10:13,7/1/2021 10:20,,,,,,Not at all,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,About once a week,Less than once a month,Not at all,Expert,Not at all,Intermediate,Not at all,Intermediate,Not at all,Intermediate,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Alteryx,,,,,,,,,,,,,,,,No perceived benefit,,,,,,,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10
12787596981,405148313,7/1/2021 10:14,7/1/2021 10:19,,,,,,Not at all,At least once a day,Not at all,About once a week,About once a month,Less than once a month,Not at all,Not at all,About once a week,Not at all,Expert,Not at all,Advanced,Intermediate,Not at all,Not at all,Not at all,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,,,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10
12787590066,405148313,7/1/2021 10:04,7/1/2021 10:17,,,,,,Not at all,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,Less than once a month,About once a month,Not at all,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,Excel,,SAS,,A data visualization tool like Tableau,,,,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,Not enough time,,,,,Premium adjustment,,,,,,,,,,,ACAS,51-60 years old,United States,,Insurance company,,51-200,More than 20
12787589656,405148313,7/1/2021 10:14,7/1/2021 10:17,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,At least once a day,Not at all,Less than once a month,At least once a day,Basic stuff,Expert,Not at all,Intermediate,Not at all,Expert,Not at all,Intermediate,Expert,Very much so,Unsure,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,,R,,,,,,,,,,,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,Lack of management support,Lack of IT support,Financial cost,,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,25-Nov,Between 5 and 10
12787587077,405148313,7/1/2021 10:09,7/1/2021 10:16,,,,,,At least once a day,At least once a day,Not at all,Not at all,About once a month,Not at all,Not at all,Not at all,At least once a day,Expert,Expert,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Advanced,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Clouding computing (e.g. AWS),,,,,Python,,,,,,,Lack of management support,Lack of IT support,,,No perceived benefit,,,Lack of management support,Lack of IT support,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,,,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,41-50 years old,United States,,Insurance company,,51-200,Between 15 and 20
12787586989,405148313,7/1/2021 10:13,7/1/2021 10:16,,,,,,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,,,,,,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,Not enough time,,,,,,,"Bayesian analysis, and/or MCMC",,,,,,,,,FCAS,41-50 years old,United States,,Insurance company,,26-50,More than 20
12787586137,405148313,7/1/2021 10:09,7/1/2021 10:16,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,About once a month,At least once a day,Not at all,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Very much so,Somewhat,Very much so,Azure and other cloud-based tools,,,,,,,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,,,"Time series analysis, including claim trend analysis",,,,,"Data profiles and controls, aka Data Governance",,ACAS,61 or older,United States,,Insurance company,,51-200,More than 20
12787583890,405148313,7/1/2021 10:12,7/1/2021 10:15,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Expert,Not at all,Intermediate,Basic stuff,Not at all,Basic stuff,Not at all,Basic stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,"Linear regression, including GLMs",Credibility,,,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,61 or older,United States,,Academic institution,,5-Jan,More than 20
12787576762,405148313,7/1/2021 10:06,7/1/2021 10:12,,,,,,About once a week,At least once a day,About once a week,Not at all,Less than once a month,Not at all,Not at all,Less than once a month,At least once a day,Basic stuff,Advanced,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Intermediate,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,Excel,,,,,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,,No perceived benefit,Small company with insufficient data for more advanced modeling,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
12787576092,405148313,7/1/2021 10:08,7/1/2021 10:12,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,Less than once a month,Less than once a month,About once a month,About once a month,Less than once a month,Intermediate,Expert,Advanced,Intermediate,Basic stuff,Intermediate,Basic stuff,Intermediate,Basic stuff,Somewhat,Somewhat,Somewhat,Not at all,Very much so,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,,R,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,51-60 years old,"United Kingdom, Ireland",,Consulting Firm,,51-200,More than 20
12787575302,405148313,7/1/2021 10:08,7/1/2021 10:12,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Basic stuff,Advanced,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Intermediate,Very much so,Very much so,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,,Excel,,,Python,,,,SQL,,,,,Financial cost,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,10-Jun,Between 5 and 10
12787575246,405148313,7/1/2021 10:08,7/1/2021 10:12,,,,,,About once a month,At least once a day,Not at all,About once a week,About once a month,Less than once a month,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Advanced,Very much so,,,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Asia,,Insurance company,,5-Jan,Between 5 and 10
12787574111,405148313,7/1/2021 10:08,7/1/2021 10:11,,,,,,Not at all,At least once a day,About once a month,Less than once a month,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Sheets,SAS,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,200+,More than 20
12787571692,405148313,7/1/2021 10:09,7/1/2021 10:11,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,Intermediate,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excel,,,,,,,,,,,,,Not enough time,,,,,,Financial cost,,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,61 or older,United States,,Consulting Firm,,51-200,More than 20
12787569416,405148313,7/1/2021 10:07,7/1/2021 10:10,,,,,,Less than once a month,At least once a day,Not at all,About once a week,About once a month,Not at all,Not at all,About once a week,About once a week,Not at all,Expert,Basic stuff,Advanced,Basic stuff,Not at all,Not at all,Advanced,Intermediate,,,,,,,,,,Very much so,,,Very much so,,,,,,,,,,,,Very much so,,,,R,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,200+,Between 10 and 15
12787564274,405148313,7/1/2021 10:04,7/1/2021 10:08,,,,,,Not at all,At least once a day,Less than once a month,Not at all,Not at all,About once a week,Not at all,At least once a day,About once a month,Not at all,Expert,Basic stuff,Not at all,Not at all,Intermediate,Not at all,Advanced,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Not at all,Somewhat,Unsure,Somewhat,Somewhat,Unsure,,,,,,,,,,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Reinsurance company,,26-50,More than 20
12787559654,405148313,7/1/2021 10:04,7/1/2021 10:07,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Unsure,Unsure,Somewhat,Very much so,Very much so,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Insurance company,,200+,More than 20
12787559447,405148313,7/1/2021 9:59,7/1/2021 10:06,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Reinsurance company,,5-Jan,More than 20
12787555239,405148313,7/1/2021 10:01,7/1/2021 10:05,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,Basic stuff,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,,Somewhat,,Very much so,Very much so,,,,,,,,,,,,,,,,,,,,,,,,R,Excel,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,61 or older,United States,,Consulting Firm,,200+,More than 20
